transaction_id,customer_id,amount,customer_tenure_months,previous_successes,previous_failures,days_since_last_payment,checkout_duration_minutes,checkout_started,checkout_completed,subscription_active,days_overdue,previous_recovery_success,failure_reason,recovered
TXN_100000,CUST_1000,18914.64,28,4,0,56,16.12,1,1,1,37,0,none,0
TXN_100001,CUST_1001,47550.5,7,10,5,39,7.85,1,0,1,29,0,bank_declined,1
TXN_100002,CUST_1002,36680.1,35,7,1,79,18.12,1,0,0,52,0,bank_declined,1
TXN_100003,CUST_1003,30053.33,55,5,4,44,1.86,1,1,1,51,1,temporary_failure,1
TXN_100004,CUST_1004,8054.13,28,3,4,34,1.64,0,1,0,45,1,temporary_failure,1
TXN_100005,CUST_1005,8052.93,14,1,3,2,18.58,1,0,0,19,0,network_error,1
TXN_100006,CUST_1006,3186.76,56,13,2,4,13.14,0,0,1,25,1,temporary_failure,1
TXN_100007,CUST_1007,43348.95,10,8,0,89,7.9,1,1,0,14,0,none,0
TXN_100008,CUST_1008,30175.42,16,12,0,10,15.22,1,1,1,6,1,network_error,1
TXN_100009,CUST_1009,35491.21,16,11,3,70,13.61,1,0,0,6,1,insufficient_funds,1
TXN_100010,CUST_1010,1323.05,54,0,3,55,10.86,1,0,1,49,0,network_error,0
TXN_100011,CUST_1011,48504.52,31,0,2,9,2.43,1,1,1,28,1,insufficient_funds,0
TXN_100012,CUST_1012,41672.4,42,12,5,33,16.34,1,1,1,22,0,bank_declined,1
TXN_100013,CUST_1013,10853.25,25,3,2,66,17.39,1,1,1,33,0,none,1
TXN_100014,CUST_1014,9336.7,13,6,4,71,3.86,1,1,1,19,1,authentication_failure,0
TXN_100015,CUST_1015,9415.2,6,0,5,30,17.08,1,0,1,14,1,temporary_failure,0
TXN_100016,CUST_1016,15420.84,44,8,1,74,17.62,1,1,0,32,1,expired_card,1
TXN_100017,CUST_1017,26380.39,9,3,2,70,11.21,1,1,1,52,1,insufficient_funds,0
TXN_100018,CUST_1018,21767.67,45,2,3,65,13.3,0,0,0,16,0,none,0
TXN_100019,CUST_1019,14774.09,36,0,5,69,7.95,1,1,0,19,0,authentication_failure,0
TXN_100020,CUST_1020,30709.09,56,9,2,40,5.99,1,1,0,56,1,authentication_failure,1
TXN_100021,CUST_1021,7232.84,43,3,0,62,14.58,1,0,0,12,0,none,0
TXN_100022,CUST_1022,14819.59,20,8,1,31,17.31,1,0,1,43,1,expired_card,0
TXN_100023,CUST_1023,18508.18,18,12,4,19,13.25,1,0,1,23,0,temporary_failure,1
TXN_100024,CUST_1024,22966.68,58,13,0,56,10.48,1,0,1,53,1,insufficient_funds,1
TXN_100025,CUST_1025,39323.25,43,9,0,49,3.6,1,1,1,46,0,none,0
TXN_100026,CUST_1026,10223.79,57,5,1,79,1.54,1,1,0,55,1,temporary_failure,0
TXN_100027,CUST_1027,25857.45,21,5,4,24,9.19,1,1,0,36,0,network_error,0
TXN_100028,CUST_1028,29743.0,4,0,3,11,1.46,1,0,0,6,1,expired_card,0
TXN_100029,CUST_1029,2608.59,50,9,5,70,11.6,0,1,1,7,0,network_error,0
TXN_100030,CUST_1030,30494.98,33,1,4,38,7.96,1,1,0,22,0,none,1
TXN_100031,CUST_1031,8775.05,27,10,2,16,15.27,1,1,1,13,1,expired_card,1
TXN_100032,CUST_1032,3533.06,7,5,0,44,6.46,1,0,1,3,1,expired_card,1
TXN_100033,CUST_1033,47459.61,6,1,2,10,12.06,1,0,1,20,1,none,0
TXN_100034,CUST_1034,48291.91,15,2,3,69,10.98,1,0,1,45,0,network_error,0
TXN_100035,CUST_1035,40477.35,18,3,2,22,0.59,1,1,1,9,0,bank_declined,0
