timestamp,transaction_id,customer_id,amount,recovery_probability,diagnosis,recommended_strategy,selected_action,decision_reason,risk_level,result_status,result_message,amount_recovered,payment_link_id,payment_link_status,amount_paid,verification_status,recovery_outcome
2026-08-30T12:03:42.876683,TXN_100000,CUST_1000,18914.64,0.4974,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.882368,TXN_100001,CUST_1001,47550.5,0.4841,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:42.886983,TXN_100002,CUST_1002,36680.1,0.4164,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:42.891606,TXN_100003,CUST_1003,30053.33,0.5614,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.894727,TXN_100004,CUST_1004,8054.13,0.5575,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.899691,TXN_100005,CUST_1005,8052.93,0.6022,Network-related payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.903772,TXN_100006,CUST_1006,3186.76,0.9602,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,3186.76,,,,,
2026-08-30T12:03:42.905305,TXN_100007,CUST_1007,43348.95,0.5584,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.905305,TXN_100008,CUST_1008,30175.42,0.975,Network-related payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,30175.42,,,,,
2026-08-30T12:03:42.916477,TXN_100009,CUST_1009,35491.21,0.5323,Insufficient customer funds,payment_reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.920490,TXN_100010,CUST_1010,1323.05,0.3255,Network-related payment failure,retry,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.921997,TXN_100011,CUST_1011,48504.52,0.2992,Insufficient customer funds,payment_reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.927766,TXN_100012,CUST_1012,41672.4,0.6695,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:42.931448,TXN_100013,CUST_1013,10853.25,0.3108,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.931448,TXN_100014,CUST_1014,9336.7,0.4191,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
